pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,10,3,43,3,,,,,104.64615379995666,,104.63409429998137,104.64615379995666,105.645881799981,105.645881799981,105.645881799981,105.645881799981,105.645881799981,106.64564150001388,106.64564150001388,106.91352870000992,z,1,0.2656626000534743,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-50,x,11,0,44,0,,,,,106.92887229996268,,106.91499489999842,106.92887229996268,107.9286931999959,107.9286931999959,107.9286931999959,107.9286931999959,107.9286931999959,108.92838139995001,108.92838139995001,109.2959991999669,x,1,0.36266539990901947,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
150,v,11,1,45,1,,,,,109.31157339992933,,109.29731719999108,109.31157339992933,110.31115399999544,110.31115399999544,110.31115399999544,110.31115399999544,110.31115399999544,111.3109748000279,111.3109748000279,111.66167059994768,v,1,0.3463403999339789,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
50,c,11,2,46,2,,,,,111.67766629997641,,111.66295339993667,111.67766629997641,112.6774036999559,112.6774036999559,112.6774036999559,112.6774036999559,112.6774036999559,113.67709489993285,113.67709489993285,113.99497769994196,c,1,0.3163044999819249,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-150,z,11,3,47,3,,,,,114.0105206000153,,113.99669960001484,114.0105206000153,115.00985429994762,115.00985429994762,115.00985429994762,115.00985429994762,115.00985429994762,116.00971140002366,116.00971140002366,116.26126589998603,z,1,0.24030549998860806,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-50,x,12,0,48,0,,,,,116.27629569999408,,116.2633737999713,116.27629569999408,117.27604979998432,117.27604979998432,117.27604979998432,117.27604979998432,117.27604979998432,118.27577159996144,118.27577159996144,118.64359989995137,x,1,0.35140669997781515,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
150,v,12,1,49,1,,,,,118.6591110000154,,118.64516169996932,118.6591110000154,119.658871899941,119.658871899941,119.658871899941,119.658871899941,119.658871899941,120.65857510000933,120.65857510000933,121.04332249995787,v,1,0.36738559999503195,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
50,c,12,2,50,2,,,,,121.05840249999892,,121.04512539994903,121.05840249999892,122.0581970999483,122.0581970999483,122.0581970999483,122.0581970999483,122.0581970999483,123.05766019993462,123.05766019993462,123.39255769993179,c,1,0.3269911000970751,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-150,z,12,3,51,3,,,,,123.40761560003739,,123.39418820000719,123.40761560003739,124.4076783999335,124.4076783999335,124.4076783999335,124.4076783999335,124.4076783999335,125.40724750002846,125.40724750002846,125.42503959999885,z,1,0.0047647999599576,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-50,x,13,0,52,0,,,,,125.44043930002954,,125.42655979993287,125.44043930002954,126.44018279993907,126.44018279993907,126.44018279993907,126.44018279993907,126.44018279993907,127.44002239999827,127.44002239999827,127.84106689994223,x,1,0.39910109993070364,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
